recipe_id,totalCO2,greennessD
79222,4.461426,3
78274,4.9746532000000006,3
207860,1.56462,4
33096,1.740112,4
211570,19.3521822,2
54550,39.50115589999999,1
98783,1.1916488,4
152116,13.546258500000002,2
21132,3.9514932,3
32082,2.3031754,4
9054,2.271128,4
367376,32.58374666666666,1
17083,2.8837812,3
135585,1.841830915,4
12572,4.5016951,3
139213,2.516084,4
86858,32.380432299999995,1
8507,4.0342512,3
96367,2.768788,4
93886,3.1369495,3
156341,1.0514165,4
49461,5.0978038,3
26706,1.3676231250000002,4
69213,1.731584,4
273976,1.607212,4
211997,1.7550455000000005,4
21936,47.9759929,1
155480,3.203409,3
65266,12.343994166666668,2
45539,1.0460982083333332,4
86940,4.19100575,3
96886,9.1233882,2
171002,1.829013,4
69243,6.570532000000001,3
227257,3.104013573333333,3
169916,1.4517513199999998,4
283034,5.068019075,3
53594,2.7321579,4
50022,3.5916260000000007,3
79378,1.047069,4
9004,5.491735,3
12044,34.7876016,1
169475,1.6824391333333333,4
58224,98.894497,0
89503,4.039964,3
96087,1.466676,4
3579,2.3244162,4
119804,2.0105198,4
61800,3.1301868,3
345232,1.800857,4
30081,33.331268816666665,1
449452,2.38556,4
79944,20.497158,2
11040,2.2556488,4
29121,1.4801688,4
110806,3.9300894,3
130073,11.88835525,2
97553,2.7120868,4
31811,1.086848375,4
269324,1.38275325,4
131426,2.126503,4
3470,13.735907,2
16109,1.4536,4
65758,6.287193300000001,3
49047,11.137426,2
96485,4.874103,3
133524,17.944074,2
143719,27.5989568,1
228641,4.76233033,3
88290,1.2225288,4
141789,2.16628424,4
120343,4.181521,3
376,1.4992496,4
115503,10.065899,2
20763,2.9211808,3
36984,1.9001593,4
86868,4.85266865,3
76294,2.176796,4
291758,1.6685755000000002,4
88453,11.2636985,2
26076,3.287264,3
232118,2.3115138,4
87461,1.4206286,4
97606,6.22996435,3
102631,1.42332394,4
14569,1.1444196,4
52569,7.154515,3
26168,1.02710325,4
834,1.328767875,4
4861,1.6312852000000002,4
8596,7.9403216,3
92649,1.95856872,4
15646,3.0554828,3
66241,2.30856,4
226737,1.7119954000000002,4
17326,3.4926420000000005,3
21155,1.61471925,4
216237,53.609565,1
15826,3.2229528,3
45246,9.573953,2
47594,2.4282172,4
161043,5.692195,3
4779,1.6953375,4
130046,3.5628977,3
150384,6.2123116,3
102734,1.8661874,4
9494,3.316365333333333,3
47521,1.3814537,4
25502,7.014567,3
96499,2.322069,4
64435,1.461584365,4
301754,34.8993182,1
41020,1.512988,4
187621,4.672583675,3
17031,6.0872037500000005,3
113223,3.606968000000001,3
56704,7.120293666666667,3
99023,2.1443190000000003,4
45691,1.5471237083333331,4
72680,3.62881,3
279261,7.688789874999999,3
201364,2.146034,4
11217,7.577067800000001,3
19912,9.267909499999998,2
247601,2.554868233333333,4
97774,1.796424,4
91292,2.558578,4
22164,7.1194137500000005,3
72654,1.166787,4
277379,11.44861625,2
82466,3.9931708,3
52035,1.382725,4
117211,2.426288333333333,4
21320,1.6840239,4
267249,6.2433711,3
268753,2.983228,3
1356,34.824553800000004,1
19513,4.1393450000000005,3
190896,1.537356,4
22539,9.9561714,2
302830,1.9770197,4
134854,1.487194,4
138810,26.762895,1
239592,2.0740965,4
143547,2.9128609,3
18124,2.7930911,4
268199,33.69725424999999,1
110223,2.919512,3
12501,1.0235345,4
62542,1.78214175,4
70207,2.0130685,4
15968,1.7373806,4
136338,1.897211,4
113193,2.81273832,4
246602,5.5462265,3
17586,36.971902,1
13181,1.1854233333333333,4
152218,3.69859075,3
105422,5.01563195,3
34255,48.006363,1
106555,12.027349,2
99156,8.699133833333335,2
81311,7.7932662000000015,3
13303,2.43182,4
14433,1.05463,4
4368,5.220482475,3
266427,3.4521,3
272181,5.603470000000001,3
9970,17.9690118,2
305800,64.04444587500001,1
51459,1.988079,4
3057,1.9108055,4
56451,34.0059099,1
42861,2.3364036666666665,4
299527,8.391531,2
161440,1.010758365,4
67085,6.406253,3
119544,1.8315704,4
123920,1.8671666666666664,4
24511,1.4310416,4
92660,2.2358260000000003,4
276257,4.160095999999999,3
133329,8.418318193333333,2
15280,17.989485700000003,2
175079,1.012914365,4
162686,1.9979,4
